,ImageID,concept,category,mask_type,mask_path
54,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_09s.jpg,pizza,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/overalls/overalls_08s.jpg
55,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_09s.jpg,pizza,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/gun/gun_03s_p0.5.png
56,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_09s.jpg,pizza,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_4_d300.png
57,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_09s.jpg,pizza,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_5_d300.png
58,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_09s.jpg,pizza,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/pizza/blocked_4_b4.png
59,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_09s.jpg,pizza,food,no_mask,no_mask
60,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_10s.jpg,pizza,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/ice_cream/ice_cream_01b.jpg
61,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_10s.jpg,pizza,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/skirt/skirt_14s_p0.5.png
62,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_10s.jpg,pizza,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_6_d300.png
63,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_10s.jpg,pizza,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_12_d300.png
